year,season,noc,team,sport,event,medal
1964,Summer,HUN,Hungary,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
1968,Summer,HUN,Hungary,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold
2002,Winter,NOR,Norway,Cross Country Skiing,Cross Country Skiing Men's Sprint,Gold
2006,Winter,NOR,Norway,Cross Country Skiing,Cross Country Skiing Men's Team Sprint,Silver
2006,Winter,GER,Germany,Nordic Combined,Nordic Combined Men's Individual,Gold
2006,Winter,GER,Germany,Nordic Combined,Nordic Combined Men's Sprint,Bronze
1976,Winter,FRG,West Germany,Nordic Combined,Nordic Combined Men's Individual,Silver
1964,Summer,GER,Germany,Swimming,Swimming Men's 400 metres Individual Medley,Bronze
1964,Winter,USA,United States,Alpine Skiing,Alpine Skiing Men's Slalom,Bronze
1980,Summer,GDR,East Germany,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Bronze
1980,Summer,GDR,East Germany,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
1988,Summer,GDR,East Germany,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Gold
1988,Summer,GDR,East Germany,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
1992,Summer,GER,Germany,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Bronze
2004,Summer,SUI,Switzerland-2,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze
1980,Summer,GDR,East Germany,Weightlifting,Weightlifting Men's Super-Heavyweight,Silver
2004,Summer,BEL,Belgium,Judo,Judo Women's Half-Lightweight,Bronze
2000,Summer,CAN,Canada,Diving,Diving Women's Synchronized Platform,Silver
2008,Summer,CAN,Canada,Diving,Diving Women's Platform,Silver
1996,Summer,RSA,South Africa,Swimming,Swimming Women's 100 metres Breaststroke,Gold
1996,Summer,RSA,South Africa,Swimming,Swimming Women's 200 metres Breaststroke,Gold
2000,Summer,RSA,South Africa,Swimming,Swimming Women's 100 metres Breaststroke,Bronze
1968,Summer,USA,United States,Swimming,Swimming Men's 100 metres Backstroke,Silver
1968,Summer,USA,United States,Swimming,Swimming Men's 200 metres Individual Medley,Gold
1968,Summer,USA,United States,Swimming,Swimming Men's 400 metres Individual Medley,Gold
1968,Summer,USA,United States,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1904,Summer,USA,United States,Athletics,Athletics Men's Marathon,Gold
2004,Summer,INA,Indonesia,Badminton,Badminton Men's Singles,Gold
1936,Summer,GER,Germany,Art Competitions,"Art Competitions Mixed Painting, Applied Arts",Silver
1952,Winter,FIN,Finland,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,Silver
1956,Winter,FIN,Finland,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Gold
1952,Summer,FIN,Finland,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
1952,Summer,FIN,Finland,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Gold
1924,Summer,FRA,France,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
1956,Summer,GBR,Great Britain,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
2016,Summer,JPN,Japan,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
1900,Summer,GBR,Great Britain,Cycling,Cycling Men's 25 kilometres,Silver
1976,Summer,FRG,West Germany,Athletics,"Athletics Men's 5,000 metres",Bronze
1972,Winter,ITA,Italy-1,Luge,Luge Mixed (Men)'s Doubles,Gold
1980,Winter,ITA,Italy,Luge,Luge Men's Singles,Silver
1984,Winter,ITA,Italy,Luge,Luge Men's Singles,Gold
1996,Summer,CZE,Czech Republic,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Gold
2000,Summer,CZE,Czech Republic,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Gold
1960,Summer,GER,Germany,Rowing,Rowing Men's Single Sculls,Silver
1964,Summer,GER,Germany,Rowing,Rowing Men's Single Sculls,Silver
1920,Summer,GBR,Great Britain,Athletics,Athletics Men's 800 metres,Gold
1920,Summer,GBR,Great Britain,Athletics,"Athletics Men's 1,500 metres",Gold
1956,Summer,GBR,Great Britain,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
1976,Summer,BER,Bermuda,Boxing,Boxing Men's Heavyweight,Bronze
1936,Summer,GBR,Great Britain,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
1960,Summer,USA,United States,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Silver
1932,Summer,USA,United States,Athletics,"Athletics Men's 5,000 metres",Silver
1972,Summer,USA,United States,Athletics,Athletics Men's 110 metres Hurdles,Bronze
1984,Summer,USA,United States,Boxing,Boxing Men's Middleweight,Silver
1908,Summer,GBR,Great Britain,Archery,Archery Women's Double National Round,Bronze
1904,Summer,USA,United States,Athletics,Athletics Men's 400 metres,Gold
1904,Summer,USA,United States,Athletics,Athletics Men's 200 metres Hurdles,Gold
1904,Summer,USA,United States,Athletics,Athletics Men's 400 metres Hurdles,Gold
1908,Summer,USA,United States,Athletics,Athletics Men's 400 metres Hurdles,Silver
1924,Summer,USA,United States,Athletics,Athletics Men's Shot Put,Bronze
1988,Summer,FRG,West Germany,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver
1920,Summer,NED,Beatrijs III-1,Sailing,Sailing Mixed 12 foot,Gold
2012,Summer,GBR,Great Britain,Cycling,Cycling Men's Team Sprint,Gold
2016,Summer,GBR,Great Britain,Cycling,Cycling Men's Team Sprint,Gold
1984,Summer,CAN,Canada,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
1924,Summer,USA,United States,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Bronze
1968,Summer,USA,United States,Athletics,Athletics Men's 100 metres,Gold
1984,Summer,FRG,West Germany,Athletics,Athletics Men's Decathlon,Silver
1960,Winter,AUT,Austria,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Bronze
1960,Winter,AUT,Austria,Alpine Skiing,Alpine Skiing Men's Slalom,Gold
1976,Summer,GDR,East Germany,Athletics,Athletics Women's Discus Throw,Bronze
1932,Summer,AUT,Austria,Weightlifting,Weightlifting Men's Middleweight,Bronze
1976,Summer,JPN,Japan,Weightlifting,Weightlifting Men's Featherweight,Bronze
1960,Summer,JPN,Japan,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
2014,Winter,JPN,Japan,Snowboarding,Snowboarding Men's Halfpipe,Silver
2012,Summer,JPN,Japan,Judo,Judo Men's Extra-Lightweight,Silver
2014,Winter,JPN,Japan,Snowboarding,Snowboarding Men's Halfpipe,Bronze
1972,Summer,JPN,Japan,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
1976,Summer,JPN,Japan,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Bronze
1912,Summer,USA,United States,Shooting,"Shooting Men's Small-Bore Rifle, Any Position, 50 metres",Gold
1912,Summer,USA,United States,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team",Bronze
1912,Summer,USA,United States,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team",Bronze
2014,Winter,AUT,Austria,Alpine Skiing,Alpine Skiing Men's Slalom,Silver
1928,Summer,GER,Germany,Athletics,Athletics Men's Shot Put,Bronze
1932,Summer,AUT,Austria,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
1932,Summer,AUT,Austria,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
2000,Summer,FIN,Finland,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Silver
1996,Summer,MAR,Morocco,Athletics,"Athletics Men's 10,000 metres",Bronze
2016,Summer,GBR,Great Britain,Athletics,Athletics Women's Hammer Throw,Bronze
1928,Summer,JPN,Japan,Athletics,Athletics Women's 800 metres,Silver
2002,Winter,NOR,Norway,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Bronze
2012,Summer,CZE,Czech Republic-1,Tennis,Tennis Women's Doubles,Silver
2008,Summer,UKR,Ukraine,Boxing,Boxing Men's Super-Heavyweight,Bronze
2012,Summer,AZE,Azerbaijan,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
1980,Summer,PRK,North Korea,Weightlifting,Weightlifting Men's Flyweight,Silver
2008,Summer,VIE,Vietnam,Weightlifting,Weightlifting Men's Bantamweight,Silver
2016,Summer,VIE,Vietnam,Shooting,"Shooting Men's Air Pistol, 10 metres",Gold
2016,Summer,VIE,Vietnam,Shooting,"Shooting Men's Free Pistol, 50 metres",Silver
1904,Summer,USA,Ravenswood Boat Club-2,Rowing,Rowing Men's Double Sculls,Silver
1948,Summer,AUT,Austria,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Gold
1956,Winter,AUT,Austria,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Bronze
2000,Summer,SVK,Slovakia,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
2004,Summer,SVK,Slovakia,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
2008,Summer,SVK,Slovakia,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
2012,Summer,SVK,Slovakia,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze
1936,Summer,FIN,Finland,Athletics,"Athletics Men's 5,000 metres",Gold
1956,Summer,USA,United States,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver
1920,Summer,GBR,Great Britain,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold
1912,Summer,CAN,Canada,Swimming,Swimming Men's 400 metres Freestyle,Gold
1912,Summer,CAN,Canada,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold
1952,Summer,HUN,Hungary,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Gold
1992,Summer,GER,Germany,Rowing,Rowing Men's Coxless Pairs,Silver
2008,Summer,USA,United States,Swimming,Swimming Women's 100 metres Backstroke,Bronze
2008,Summer,USA,United States,Swimming,Swimming Women's 200 metres Backstroke,Silver
1924,Summer,BEL,Belgium,Cycling,"Cycling Men's Road Race, Individual",Silver
1924,Summer,BEL,Belgium,Cycling,"Cycling Men's Road Race, Team",Silver
2014,Winter,ITA,Italy,Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Bronze
1984,Summer,SUI,Switzerland,Equestrianism,"Equestrianism Mixed Dressage, Individual",Bronze
1988,Summer,SUI,Switzerland,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
1948,Summer,DEN,Denmark,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold
2008,Summer,USA,United States,Swimming,Swimming Women's 400 metres Freestyle,Silver
2008,Summer,USA,United States,Swimming,Swimming Women's 400 metres Individual Medley,Bronze
2012,Summer,GER,Germany,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
2012,Summer,USA,United States,Athletics,Athletics Men's Shot Put,Bronze
1936,Summer,GER,Germany,Art Competitions,"Art Competitions Mixed Music, Compositions For Solo Or Chorus",Gold
2006,Winter,SUI,Switzerland,Alpine Skiing,Alpine Skiing Men's Super G,Bronze
1988,Winter,GDR,East Germany,Speed Skating,"Speed Skating Men's 1,500 metres",Gold
1998,Winter,AUT,Austria,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Bronze
2002,Winter,AUT,Austria,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,Gold
1980,Summer,GDR,East Germany,Diving,Diving Men's Platform,Gold
1904,Summer,GER,Germany,Diving,Diving Men's Springboard,Silver
1904,Summer,GER,Germany,Swimming,Swimming Men's 100 Yard Backstroke,Silver
1906,Summer,GER,Germany,Diving,Diving Men's Platform,Silver
1980,Winter,GDR,East Germany,Figure Skating,Figure Skating Men's Singles,Silver
1992,Summer,GER,Germany,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
1984,Winter,GDR,East Germany-1,Luge,Luge Mixed (Men)'s Doubles,Bronze
1988,Winter,GDR,East Germany-1,Luge,Luge Mixed (Men)'s Doubles,Gold
1972,Summer,GDR,East Germany,Athletics,Athletics Women's 800 metres,Bronze
1972,Summer,GDR,East Germany,Athletics,"Athletics Women's 1,500 metres",Silver
1976,Summer,GDR,East Germany,Athletics,"Athletics Women's 1,500 metres",Silver
1936,Winter,NOR,Norway,Nordic Combined,Nordic Combined Men's Individual,Silver
2010,Winter,GER,Germany,Alpine Skiing,Alpine Skiing Women's Slalom,Gold
2010,Winter,GER,Germany,Alpine Skiing,Alpine Skiing Women's Combined,Gold
2014,Winter,GER,Germany,Alpine Skiing,Alpine Skiing Women's Super G,Silver
2014,Winter,GER,Germany,Alpine Skiing,Alpine Skiing Women's Combined,Gold
1996,Summer,GER,Germany,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
1896,Summer,GER,Germany,Athletics,Athletics Men's 100 metres,Silver
1896,Summer,GER,Germany,Gymnastics,Gymnastics Men's Rope Climbing,Bronze
1964,Summer,GER,Germany,Judo,Judo Men's Middleweight,Silver
1956,Summer,AUS,Australia,Athletics,Athletics Men's 100 metres,Bronze
1956,Summer,AUS,Australia,Boxing,Boxing Men's Welterweight,Bronze
1904,Summer,USA,United States,Athletics,Athletics Men's 60 metres,Silver
1904,Summer,USA,United States,Athletics,Athletics Men's 100 metres,Bronze
1904,Summer,USA,United States,Athletics,Athletics Men's 200 metres,Bronze
1968,Winter,SWE,Sweden,Speed Skating,"Speed Skating Men's 10,000 metres",Gold
1984,Summer,USA,United States,Swimming,Swimming Women's 100 metres Freestyle,Gold
1984,Summer,USA,United States,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
1984,Summer,USA,United States,Swimming,Swimming Women's 200 metres Individual Medley,Silver
1968,Summer,GDR,East Germany,Athletics,Athletics Men's 50 kilometres Walk,Gold
1920,Summer,NOR,Irene,Sailing,Sailing Mixed 8 metres,Gold
2010,Winter,USA,United States-1,Bobsleigh,Bobsleigh Men's Four,Gold
2014,Winter,USA,United States-1,Bobsleigh,Bobsleigh Men's Two,Bronze
1972,Summer,HUN,Hungary,Weightlifting,Weightlifting Men's Flyweight,Bronze
2000,Summer,USA,United States,Cycling,Cycling Women's Individual Time Trial,Silver
1928,Summer,GER,Germany,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
1964,Summer,GER,Germany,Athletics,Athletics Men's Decathlon,Gold
1948,Summer,TCH,Czechoslovakia,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
1952,Summer,TCH,Czechoslovakia,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
1992,Summer,ESP,Spain,Archery,Archery Men's Team,Gold
1984,Summer,GBR,Great Britain,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Bronze
1988,Summer,GBR,Great Britain,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Bronze
1988,Summer,GBR,Great Britain,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
1900,Summer,USA,United States,Athletics,Athletics Men's 400 metres,Silver
1952,Summer,NZL,New Zealand,Athletics,Athletics Men's 400 metres Hurdles,Bronze
1976,Summer,AUS,Australia,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
2016,Summer,GBR,Great Britain,Triathlon,Triathlon Women's Olympic Distance,Bronze
2006,Winter,CAN,Canada,Skeleton,Skeleton Women's Skeleton,Bronze
1984,Summer,NZL,New Zealand,Rowing,Rowing Men's Coxed Fours,Bronze
2008,Summer,GER,Germany,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
2012,Summer,GER,Germany,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
1992,Winter,AUT,Austria,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Silver
1992,Winter,AUT,Austria,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Silver
1998,Winter,AUT,Austria,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Bronze
1932,Summer,USA,United States,Swimming,Swimming Women's 100 metres Backstroke,Gold
2004,Summer,SWE,Sweden,Athletics,Athletics Men's High Jump,Gold
1920,Summer,SWE,Sif,Sailing,Sailing Mixed 40 metres,Gold
1920,Summer,GBR,Great Britain,Tennis,Tennis Women's Singles,Silver
1908,Summer,GBR,Great Britain,Swimming,Swimming Men's 200 metres Breaststroke,Gold
1992,Summer,NOR,Norway,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Bronze
1992,Summer,NOR,Norway,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
1996,Summer,NOR,Norway,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Silver
1996,Summer,NOR,Norway,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold
2000,Summer,NOR,Norway,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Gold
2000,Summer,NOR,Norway,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold
1988,Summer,ISV,United States Virgin Islands,Sailing,Sailing Mixed One Person Dinghy,Silver
1912,Summer,SWE,Sweden,Athletics,Athletics Men's Decathlon,Bronze
1984,Summer,FRG,West Germany,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Silver
1988,Summer,SWE,Sweden,Swimming,Swimming Men's 200 metres Freestyle,Silver
1992,Summer,SWE,Sweden,Swimming,Swimming Men's 200 metres Freestyle,Silver
1992,Summer,SWE,Sweden,Swimming,Swimming Men's 400 metres Freestyle,Bronze
1980,Summer,SWE,Sweden,Swimming,Swimming Men's 100 metres Freestyle,Silver
1988,Summer,GBR,Great Britain,Rowing,Rowing Men's Coxless Pairs,Gold
1988,Summer,GBR,Great Britain,Rowing,Rowing Men's Coxed Pairs,Bronze
2000,Summer,GBR,Great Britain,Athletics,Athletics Women's 800 metres,Bronze
2004,Summer,GBR,Great Britain,Athletics,Athletics Women's 800 metres,Gold
2004,Summer,GBR,Great Britain,Athletics,"Athletics Women's 1,500 metres",Gold
2014,Winter,SWE,Sweden,Freestyle Skiing,Freestyle Skiing Women's Ski Cross,Bronze
1952,Summer,SWE,Sweden,Shooting,Shooting Men's Trap,Silver
1920,Summer,SWE,Sweden,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
1952,Winter,SWE,Sweden,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Bronze
1968,Summer,FRG,West Germany,Swimming,Swimming Men's 400 metres Individual Medley,Bronze
1906,Summer,HUN,Hungary,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Bronze
1960,Summer,URS,Soviet Union,Athletics,Athletics Men's 20 kilometres Walk,Gold
1964,Summer,URS,Soviet Union,Athletics,Athletics Men's 20 kilometres Walk,Bronze
1968,Summer,URS,Soviet Union,Athletics,Athletics Men's 20 kilometres Walk,Gold
1972,Summer,URS,Soviet Union,Athletics,Athletics Men's 20 kilometres Walk,Silver
1992,Summer,EUN,Unified Team,Fencing,"Fencing Men's Foil, Individual",Silver
1968,Winter,USA,United States,Speed Skating,"Speed Skating Women's 1,000 metres",Bronze
1972,Winter,USA,United States,Speed Skating,"Speed Skating Women's 1,500 metres",Gold
1972,Winter,USA,United States,Speed Skating,"Speed Skating Women's 3,000 metres",Silver
1984,Summer,USA,United States,Boxing,Boxing Men's Light-Heavyweight,Bronze
2012,Summer,GER,Germany,Athletics,Athletics Men's Pole Vault,Bronze
2002,Winter,GER,Germany-1,Bobsleigh,Bobsleigh Women's Two,Silver
1980,Summer,ROU,Romania,Rowing,Rowing Women's Double Sculls,Bronze
2016,Summer,USA,United States,Fencing,"Fencing Men's Sabre, Individual",Silver
1984,Summer,USA,United States,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
1980,Summer,GDR,East Germany,Athletics,Athletics Women's Javelin Throw,Bronze
1948,Summer,ARG,Djinn,Sailing,Sailing Mixed 6 metres,Silver
2006,Winter,UKR,Ukraine-1,Figure Skating,Figure Skating Mixed Ice Dancing,Bronze
2004,Summer,UKR,Ukraine,Gymnastics,Gymnastics Men's Parallel Bars,Gold
1984,Summer,AUS,Australia,Athletics,Athletics Men's Long Jump,Silver
1992,Summer,KOR,South Korea-1,Table Tennis,Table Tennis Women's Doubles,Bronze
1992,Summer,KOR,South Korea,Boxing,Boxing Men's Lightweight,Bronze
2008,Summer,PRK,North Korea,Gymnastics,Gymnastics Women's Horse Vault,Gold
1952,Summer,FIN,Finland,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Bronze
2000,Summer,BRA,Brazil,Judo,Judo Men's Middleweight,Silver
1948,Summer,TCH,Czechoslovakia,Gymnastics,Gymnastics Women's Team All-Around,Gold
2004,Summer,UKR,Ukraine,Judo,Judo Men's Half-Middleweight,Silver
2008,Summer,UKR,Ukraine,Judo,Judo Men's Half-Middleweight,Bronze
1900,Summer,NED,Mascotte,Sailing,Sailing Mixed 3-10 Ton,Silver
2008,Summer,AUS,Australia,Athletics,Athletics Men's Pole Vault,Gold
1952,Summer,USA,United States,Athletics,Athletics Men's Shot Put,Silver
1956,Summer,GBR,Great Britain,Athletics,Athletics Women's High Jump,Silver
2006,Winter,GER,Germany-1,Bobsleigh,Bobsleigh Men's Four,Gold
1984,Winter,GDR,East Germany-2,Bobsleigh,Bobsleigh Men's Two,Gold
1984,Winter,GDR,East Germany-1,Bobsleigh,Bobsleigh Men's Four,Gold
1988,Winter,GDR,East Germany-1,Bobsleigh,Bobsleigh Men's Two,Silver
1988,Winter,GDR,East Germany-1,Bobsleigh,Bobsleigh Men's Four,Silver
1900,Summer,GER,Germany,Swimming,Swimming Men's 200 metres Backstroke,Gold
